ticket_id,account_id,created_date,category,priority,resolution_hours,resolved
T000922,A00347,2024-07-26,Onboarding Help,Medium,,No
T000923,A00351,2024-03-13,Performance,Low,78,Yes
T000924,A00351,2024-04-07,Feature Request,Medium,90,Yes
T000925,A00351,2024-02-16,Integration Issue,High,18,Yes
T000926,A00351,2024-02-13,Onboarding Help,Medium,24,Yes
T000927,A00351,2024-07-27,Onboarding Help,Medium,80,Yes
T000928,A00352,2024-09-21,Integration Issue,High,9,Yes
T000929,A00353,2023-12-08,Billing,Low,,No
T000930,A00354,2023-04-09,Integration Issue,Medium,16,Yes
T000931,A00354,2024-07-17,Performance,Critical,7,Yes
T000932,A00354,2023-05-10,Bug Report,Medium,49,Yes
T000933,A00354,2024-04-02,Onboarding Help,Medium,57,Yes
T000934,A00355,2024-10-07,Bug Report,Medium,29,Yes
T000935,A00355,2024-11-01,Performance,Medium,43,Yes
T000936,A00357,2024-11-26,Performance,Low,68,Yes
T000937,A00358,2024-11-05,Bug Report,Low,51,Yes
T000938,A00359,2024-12-27,Integration Issue,Low,55,Yes
T000939,A00360,2024-10-26,Onboarding Help,Medium,23,Yes
T000940,A00360,2024-12-22,Feature Request,Low,46,Yes
T000941,A00360,2024-12-09,Bug Report,Medium,19,Yes
T000942,A00360,2024-11-05,Bug Report,Medium,90,Yes
T000943,A00362,2024-11-18,Bug Report,Medium,29,Yes
T000944,A00362,2023-08-16,Performance,Critical,5,Yes
T000945,A00363,2024-03-10,Feature Request,High,46,Yes
T000946,A00363,2024-07-24,Onboarding Help,Low,138,Yes
T000947,A00363,2023-11-23,Performance,Medium,70,Yes
T000948,A00366,2024-08-13,Bug Report,High,18,Yes
T000949,A00366,2024-07-21,Bug Report,High,25,Yes
T000950,A00366,2024-01-30,Performance,Medium,29,Yes
T000951,A00367,2024-05-31,Bug Report,Low,146,Yes
T000952,A00367,2024-10-13,Performance,Low,136,Yes
T000953,A00367,2024-10-26,Billing,Low,127,Yes
T000954,A00368,2024-06-04,Performance,Medium,,No
T000955,A00368,2024-12-09,Bug Report,Medium,47,Yes
T000956,A00368,2024-03-27,Integration Issue,Low,99,Yes
T000957,A00370,2023-12-31,Feature Request,Medium,,No
T000958,A00370,2024-08-05,Onboarding Help,Low,106,Yes
T000959,A00370,2024-11-17,Feature Request,Critical,5,Yes
T000960,A00370,2024-12-09,Onboarding Help,Medium,27,Yes
T000961,A00370,2024-04-08,Onboarding Help,Medium,81,Yes
T000962,A00372,2023-09-10,Integration Issue,Medium,32,Yes
T000963,A00372,2023-09-21,Integration Issue,High,35,Yes
T000964,A00372,2023-04-29,Feature Request,High,11,Yes
T000965,A00372,2024-10-30,Feature Request,Medium,86,Yes
T000966,A00372,2023-07-08,Performance,Low,104,Yes
T000967,A00372,2024-12-19,Integration Issue,High,13,Yes
T000968,A00372,2023-04-15,Billing,Medium,38,Yes
T000969,A00374,2024-12-29,Onboarding Help,Critical,1,Yes
T000970,A00374,2024-12-09,Integration Issue,Medium,,No
T000971,A00374,2024-11-21,Bug Report,Medium,15,Yes
T000972,A00376,2024-10-04,Performance,Critical,4,Yes
T000973,A00377,2024-12-12,Performance,Critical,,No
T000974,A00377,2024-08-28,Billing,Medium,81,Yes
T000975,A00378,2024-12-21,Feature Request,Medium,41,Yes
T000976,A00381,2024-10-27,Integration Issue,High,41,Yes
T000977,A00381,2024-09-06,Billing,Medium,17,Yes
T000978,A00381,2024-04-10,Onboarding Help,Medium,42,Yes
T000979,A00382,2024-12-31,Feature Request,Critical,6,Yes
T000980,A00383,2024-07-11,Performance,Medium,60,Yes
T000981,A00384,2024-09-04,Integration Issue,Low,165,Yes
T000982,A00384,2024-07-20,Billing,Medium,94,Yes
T000983,A00385,2024-12-27,Performance,Low,115,Yes
T000984,A00385,2024-12-31,Integration Issue,Low,,No
T000985,A00386,2023-07-09,Billing,High,31,Yes
T000986,A00386,2023-02-13,Billing,Low,63,Yes
T000987,A00387,2024-09-13,Performance,Low,39,Yes
T000988,A00388,2024-01-05,Billing,High,31,Yes
T000989,A00388,2024-01-19,Feature Request,Medium,38,Yes
T000990,A00388,2023-06-24,Integration Issue,Medium,29,Yes
T000991,A00389,2024-09-11,Integration Issue,Medium,34,Yes
T000992,A00389,2024-09-23,Performance,Medium,83,Yes
T000993,A00389,2024-09-14,Performance,Low,,No
T000994,A00389,2024-03-25,Performance,Critical,2,Yes
T000995,A00391,2024-11-30,Bug Report,Low,32,Yes
T000996,A00391,2024-09-04,Bug Report,Medium,47,Yes
T000997,A00391,2024-11-23,Onboarding Help,High,19,Yes
T000998,A00393,2023-10-27,Feature Request,Critical,4,Yes
T000999,A00393,2024-05-11,Billing,Low,30,Yes
T001000,A00393,2024-09-28,Onboarding Help,Medium,30,Yes
T001001,A00393,2024-11-27,Onboarding Help,Medium,52,Yes
T001002,A00393,2024-12-04,Integration Issue,Medium,,No
T001003,A00393,2024-10-22,Bug Report,Low,93,Yes
T001004,A00393,2024-10-29,Bug Report,Medium,13,Yes
T001005,A00393,2024-06-19,Billing,Medium,91,Yes
T001006,A00393,2024-05-05,Bug Report,Medium,85,Yes
T001007,A00393,2024-04-15,Feature Request,Medium,68,Yes
T001008,A00393,2023-10-30,Bug Report,High,,No
T001009,A00393,2024-10-17,Billing,Medium,21,Yes
T001010,A00393,2024-12-08,Performance,Medium,45,Yes
T001011,A00393,2024-12-20,Feature Request,High,26,Yes
T001012,A00394,2024-04-22,Bug Report,Low,85,Yes
T001013,A00395,2024-12-08,Bug Report,Low,51,Yes
T001014,A00395,2024-12-07,Integration Issue,Medium,15,Yes
T001015,A00395,2024-12-27,Integration Issue,Low,41,Yes
T001016,A00395,2024-12-09,Integration Issue,Medium,42,Yes
T001017,A00395,2024-12-26,Onboarding Help,Low,122,Yes
T001018,A00395,2024-11-28,Billing,Low,116,Yes
T001019,A00395,2024-11-17,Integration Issue,Medium,30,Yes
T001020,A00395,2024-12-10,Integration Issue,Medium,37,Yes
T001021,A00396,2024-12-11,Bug Report,Critical,1,Yes
T001022,A00398,2024-12-24,Billing,Medium,26,Yes
T001023,A00399,2024-03-30,Feature Request,Medium,90,Yes
T001024,A00400,2023-11-09,Billing,High,20,Yes
T001025,A00400,2024-07-29,Onboarding Help,Low,168,Yes
T001026,A00401,2024-11-23,Feature Request,Low,59,Yes
T001027,A00401,2024-10-10,Performance,Medium,55,Yes
T001028,A00401,2024-12-07,Bug Report,Medium,34,Yes
T001029,A00401,2024-10-08,Onboarding Help,Medium,14,Yes
T001030,A00401,2024-08-04,Bug Report,High,10,Yes
T001031,A00401,2024-10-26,Bug Report,Critical,3,Yes
T001032,A00401,2024-12-21,Bug Report,Medium,14,Yes
T001033,A00401,2024-09-08,Integration Issue,Low,72,Yes
T001034,A00401,2024-09-05,Performance,Medium,63,Yes
T001035,A00401,2024-11-02,Onboarding Help,High,22,Yes
T001036,A00401,2024-12-09,Feature Request,Low,142,Yes
T001037,A00401,2024-12-07,Billing,High,35,Yes
T001038,A00401,2024-10-19,Feature Request,Low,73,Yes
T001039,A00401,2024-11-13,Billing,Medium,46,Yes
T001040,A00401,2024-12-01,Integration Issue,Medium,54,Yes
T001041,A00402,2024-12-30,Integration Issue,Medium,,No
T001042,A00403,2023-08-11,Bug Report,Medium,,No
T001043,A00403,2024-03-17,Onboarding Help,Low,,No
T001044,A00405,2024-08-19,Bug Report,Low,95,Yes
T001045,A00405,2024-08-26,Onboarding Help,Low,49,Yes
T001046,A00406,2024-02-15,Feature Request,Low,,No
T001047,A00406,2024-12-12,Performance,Medium,72,Yes
T001048,A00406,2024-08-11,Onboarding Help,High,,No
T001049,A00406,2023-11-20,Feature Request,Medium,92,Yes
T001050,A00406,2024-04-05,Performance,Medium,52,Yes
T001051,A00406,2024-01-14,Integration Issue,Low,119,Yes
T001052,A00406,2024-05-24,Feature Request,Critical,,No
T001053,A00409,2023-10-29,Performance,High,42,Yes
T001054,A00409,2023-09-24,Billing,Low,104,Yes
T001055,A00409,2023-10-24,Feature Request,Medium,,No
T001056,A00410,2024-11-12,Integration Issue,Critical,6,Yes
T001057,A00410,2024-05-02,Feature Request,Critical,2,Yes
T001058,A00412,2024-05-29,Billing,High,10,Yes
T001059,A00412,2024-10-31,Performance,Medium,60,Yes
T001060,A00412,2024-08-15,Performance,Low,,No
T001061,A00412,2024-07-28,Integration Issue,Medium,49,Yes
T001062,A00413,2023-06-15,Integration Issue,Medium,12,Yes
T001063,A00413,2024-02-21,Integration Issue,Low,150,Yes
T001064,A00414,2024-02-28,Performance,Critical,,No
T001065,A00414,2024-04-02,Performance,Critical,6,Yes
T001066,A00414,2024-08-12,Onboarding Help,High,25,Yes
T001067,A00415,2024-12-18,Onboarding Help,Low,114,Yes
T001068,A00415,2024-09-11,Onboarding Help,Low,110,Yes
T001069,A00415,2024-07-19,Onboarding Help,Low,84,Yes
T001070,A00415,2024-11-04,Performance,High,19,Yes
T001071,A00415,2024-12-26,Billing,Medium,,No
T001072,A00415,2024-10-24,Integration Issue,Low,87,Yes
T001073,A00415,2024-11-20,Bug Report,Medium,62,Yes
T001074,A00416,2024-06-06,Feature Request,Low,70,Yes
T001075,A00416,2024-12-17,Bug Report,High,,No
T001076,A00416,2024-09-08,Bug Report,Medium,81,Yes
T001077,A00417,2024-12-27,Onboarding Help,Low,64,Yes
T001078,A00417,2024-12-11,Feature Request,Low,83,Yes
T001079,A00417,2024-07-10,Onboarding Help,High,26,Yes
T001080,A00418,2024-03-19,Billing,Medium,57,Yes
T001081,A00418,2024-02-04,Billing,Low,130,Yes
T001082,A00418,2024-10-26,Integration Issue,High,,No
T001083,A00418,2024-06-27,Onboarding Help,Low,164,Yes
T001084,A00418,2024-04-10,Bug Report,Medium,95,Yes
T001085,A00418,2024-09-25,Billing,Critical,2,Yes
T001086,A00418,2024-04-02,Onboarding Help,Medium,36,Yes
T001087,A00418,2024-05-18,Feature Request,High,6,Yes
T001088,A00418,2024-01-27,Integration Issue,High,,No
T001089,A00418,2024-06-11,Bug Report,Medium,,No
T001090,A00418,2024-01-06,Integration Issue,High,41,Yes
T001091,A00418,2024-01-03,Performance,Medium,15,Yes
T001092,A00418,2024-05-20,Feature Request,Low,92,Yes
T001093,A00418,2024-03-22,Integration Issue,Low,84,Yes
T001094,A00418,2024-01-09,Performance,Medium,71,Yes
T001095,A00419,2024-09-26,Integration Issue,Low,33,Yes
T001096,A00419,2024-09-24,Performance,Medium,25,Yes
T001097,A00419,2024-11-22,Onboarding Help,Low,,No
T001098,A00419,2024-12-03,Onboarding Help,Critical,8,Yes
T001099,A00419,2024-10-23,Integration Issue,Medium,38,Yes
T001100,A00419,2024-11-20,Bug Report,High,25,Yes
T001101,A00419,2024-09-28,Bug Report,Low,,No
T001102,A00420,2023-07-09,Feature Request,Critical,1,Yes
T001103,A00420,2024-04-09,Performance,Critical,3,Yes
T001104,A00420,2024-06-02,Integration Issue,Low,130,Yes
T001105,A00420,2024-03-02,Feature Request,High,39,Yes
T001106,A00420,2023-10-02,Integration Issue,Low,49,Yes
T001107,A00421,2024-12-22,Integration Issue,Medium,26,Yes
T001108,A00421,2024-11-05,Bug Report,High,24,Yes
T001109,A00421,2024-11-23,Onboarding Help,Low,28,Yes
T001110,A00421,2024-12-11,Billing,Low,142,Yes
T001111,A00422,2024-01-04,Performance,Medium,22,Yes
T001112,A00422,2024-07-04,Onboarding Help,Low,104,Yes
T001113,A00422,2024-07-16,Bug Report,Low,121,Yes
T001114,A00422,2024-09-27,Billing,High,31,Yes
T001115,A00422,2024-02-02,Billing,Medium,76,Yes
T001116,A00422,2024-01-28,Bug Report,High,,No
T001117,A00424,2024-12-13,Billing,Low,65,Yes
T001118,A00424,2024-11-26,Bug Report,Low,136,Yes
T001119,A00424,2024-10-12,Bug Report,Low,82,Yes
T001120,A00426,2024-03-20,Feature Request,Medium,84,Yes
T001121,A00427,2024-10-18,Onboarding Help,Low,63,Yes
T001122,A00428,2024-09-03,Integration Issue,Critical,7,Yes
T001123,A00428,2024-09-13,Billing,Medium,,No
T001124,A00429,2024-03-09,Bug Report,High,37,Yes
T001125,A00429,2023-10-05,Onboarding Help,High,45,Yes
T001126,A00430,2024-07-27,Onboarding Help,High,17,Yes
T001127,A00430,2024-10-12,Billing,Low,150,Yes
T001128,A00430,2024-01-19,Performance,Low,138,Yes
T001129,A00431,2024-10-27,Feature Request,Low,,No
T001130,A00431,2024-09-26,Billing,Medium,,No
T001131,A00431,2024-08-20,Integration Issue,High,12,Yes
T001132,A00431,2024-08-27,Performance,High,,No
T001133,A00431,2024-10-01,Billing,Low,148,Yes
T001134,A00431,2024-12-03,Bug Report,Medium,71,Yes
T001135,A00431,2024-12-28,Bug Report,Critical,1,Yes
T001136,A00431,2024-11-21,Bug Report,Low,140,Yes
T001137,A00431,2024-08-20,Feature Request,Critical,4,Yes
T001138,A00432,2024-10-21,Billing,Critical,5,Yes
T001139,A00434,2024-04-12,Feature Request,Medium,,No
T001140,A00434,2024-10-18,Performance,Low,,No
T001141,A00435,2024-04-02,Performance,Low,89,Yes
T001142,A00435,2024-08-23,Billing,Low,125,Yes
T001143,A00435,2024-05-13,Billing,Low,30,Yes
T001144,A00435,2023-11-17,Bug Report,Medium,53,Yes
T001145,A00435,2024-10-13,Billing,Medium,46,Yes
T001146,A00435,2024-10-21,Integration Issue,Critical,7,Yes
T001147,A00435,2024-04-20,Bug Report,Low,130,Yes
T001148,A00435,2023-11-19,Integration Issue,Critical,5,Yes
T001149,A00435,2024-04-21,Onboarding Help,Low,47,Yes
T001150,A00435,2024-08-14,Feature Request,Medium,,No
T001151,A00435,2023-11-21,Onboarding Help,High,4,Yes
T001152,A00435,2024-04-18,Performance,Low,101,Yes
T001153,A00435,2023-12-30,Bug Report,Low,70,Yes
T001154,A00435,2024-06-03,Feature Request,Low,53,Yes
T001155,A00436,2024-03-31,Performance,Medium,69,Yes
T001156,A00436,2024-07-14,Onboarding Help,High,8,Yes
T001157,A00436,2024-05-07,Bug Report,Low,,No
T001158,A00436,2024-09-14,Integration Issue,High,23,Yes
T001159,A00436,2024-04-01,Performance,Medium,,No
T001160,A00436,2024-11-23,Bug Report,Low,135,Yes
T001161,A00439,2024-04-07,Performance,Medium,51,Yes
T001162,A00439,2024-12-12,Onboarding Help,Critical,1,Yes
T001163,A00439,2024-12-28,Performance,Low,157,Yes
T001164,A00440,2024-11-27,Performance,Low,124,Yes
T001165,A00440,2024-12-15,Bug Report,High,31,Yes
T001166,A00440,2024-11-29,Performance,Medium,47,Yes
T001167,A00441,2024-12-21,Integration Issue,Low,129,Yes
T001168,A00442,2024-01-30,Bug Report,Low,26,Yes
T001169,A00442,2024-03-11,Performance,Medium,83,Yes
T001170,A00443,2024-10-07,Integration Issue,Medium,85,Yes
T001171,A00443,2024-11-28,Bug Report,High,,No
T001172,A00444,2023-12-24,Feature Request,Medium,60,Yes
T001173,A00444,2023-08-13,Bug Report,Medium,,No
T001174,A00444,2024-06-24,Billing,High,,No
T001175,A00445,2023-11-27,Onboarding Help,Low,51,Yes
T001176,A00445,2024-06-21,Onboarding Help,High,34,Yes
T001177,A00445,2024-07-05,Onboarding Help,Critical,,No
T001178,A00446,2024-09-13,Feature Request,Medium,,No
T001179,A00446,2024-12-30,Billing,Critical,5,Yes
T001180,A00446,2024-07-21,Billing,Low,24,Yes
T001181,A00446,2024-11-19,Onboarding Help,High,10,Yes
T001182,A00446,2024-07-15,Feature Request,Medium,37,Yes
T001183,A00446,2024-08-11,Performance,Medium,88,Yes
T001184,A00447,2024-08-25,Onboarding Help,Medium,50,Yes
T001185,A00447,2024-10-30,Bug Report,Low,163,Yes
T001186,A00447,2024-11-22,Onboarding Help,Low,115,Yes
T001187,A00447,2024-07-20,Feature Request,High,36,Yes
T001188,A00447,2024-09-03,Performance,Low,130,Yes
T001189,A00447,2024-10-15,Feature Request,Low,125,Yes
T001190,A00447,2024-09-17,Billing,Low,139,Yes
T001191,A00447,2024-09-09,Onboarding Help,Low,88,Yes
T001192,A00447,2024-07-21,Integration Issue,High,32,Yes
T001193,A00447,2024-12-06,Onboarding Help,High,,No
T001194,A00447,2024-11-27,Bug Report,Medium,73,Yes
T001195,A00447,2024-09-26,Onboarding Help,Medium,89,Yes
T001196,A00448,2024-10-02,Onboarding Help,Medium,,No
T001197,A00449,2024-12-15,Bug Report,High,20,Yes
T001198,A00449,2024-12-31,Feature Request,Medium,32,Yes
T001199,A00449,2024-05-24,Onboarding Help,Critical,4,Yes
T001200,A00451,2024-12-31,Billing,Medium,,No
T001201,A00451,2024-12-11,Onboarding Help,Low,34,Yes
T001202,A00451,2024-12-15,Billing,Low,30,Yes
T001203,A00452,2024-10-07,Performance,Critical,8,Yes
T001204,A00452,2024-11-20,Feature Request,Medium,27,Yes
T001205,A00453,2024-12-27,Performance,High,26,Yes
T001206,A00453,2024-07-31,Billing,Medium,,No
T001207,A00454,2024-08-29,Bug Report,Critical,4,Yes
T001208,A00454,2024-08-08,Billing,Critical,,No
T001209,A00455,2024-12-15,Billing,High,,No
T001210,A00455,2024-07-04,Bug Report,Medium,45,Yes
T001211,A00456,2024-11-30,Bug Report,Medium,70,Yes
T001212,A00456,2024-12-31,Bug Report,Medium,74,Yes
T001213,A00456,2024-11-29,Feature Request,Low,90,Yes
T001214,A00456,2024-12-04,Performance,Medium,53,Yes
T001215,A00456,2024-12-31,Billing,High,7,Yes
T001216,A00456,2024-12-16,Performance,Low,138,Yes
T001217,A00456,2024-12-20,Billing,High,38,Yes
T001218,A00456,2024-11-22,Billing,Low,68,Yes
T001219,A00458,2024-01-17,Billing,Low,25,Yes
T001220,A00459,2024-06-15,Billing,Low,46,Yes
T001221,A00459,2024-03-20,Integration Issue,Medium,57,Yes
T001222,A00459,2023-06-07,Billing,High,8,Yes
T001223,A00459,2024-12-08,Performance,Low,116,Yes
T001224,A00459,2023-11-22,Feature Request,Medium,15,Yes
T001225,A00459,2023-08-27,Performance,Medium,53,Yes
T001226,A00459,2024-04-03,Billing,Medium,75,Yes
T001227,A00461,2024-05-22,Performance,Medium,94,Yes
T001228,A00461,2024-07-23,Bug Report,Medium,59,Yes
T001229,A00461,2024-01-25,Performance,Low,116,Yes
T001230,A00461,2024-08-11,Integration Issue,Medium,59,Yes
T001231,A00461,2024-09-04,Bug Report,Critical,2,Yes
T001232,A00461,2024-07-19,Integration Issue,Critical,4,Yes
T001233,A00461,2024-04-29,Bug Report,Low,44,Yes
T001234,A00461,2024-01-30,Integration Issue,High,31,Yes
T001235,A00461,2023-12-30,Billing,Critical,6,Yes
T001236,A00461,2024-06-08,Feature Request,Low,,No
T001237,A00461,2024-03-13,Bug Report,Medium,19,Yes
T001238,A00461,2024-02-14,Performance,High,,No
T001239,A00461,2024-01-06,Feature Request,Low,37,Yes
T001240,A00461,2024-12-07,Bug Report,Low,141,Yes
T001241,A00462,2024-11-03,Billing,Low,35,Yes
T001242,A00462,2024-11-26,Performance,Critical,,No
T001243,A00463,2023-07-09,Feature Request,Low,113,Yes
T001244,A00464,2024-09-29,Bug Report,Low,106,Yes
T001245,A00464,2023-08-06,Billing,High,15,Yes
T001246,A00465,2024-12-03,Onboarding Help,High,23,Yes
T001247,A00465,2024-09-21,Bug Report,Low,161,Yes
T001248,A00465,2024-12-06,Feature Request,Low,,No
T001249,A00466,2024-01-01,Bug Report,Medium,92,Yes
T001250,A00466,2024-07-10,Integration Issue,Low,67,Yes
T001251,A00466,2024-08-16,Bug Report,Low,53,Yes
T001252,A00467,2024-12-03,Billing,Medium,72,Yes
T001253,A00467,2024-11-10,Bug Report,Low,60,Yes
T001254,A00467,2024-11-11,Bug Report,Medium,78,Yes
T001255,A00468,2024-09-07,Onboarding Help,High,9,Yes
T001256,A00468,2024-12-16,Billing,Medium,63,Yes
T001257,A00468,2024-10-26,Performance,Low,161,Yes
T001258,A00470,2024-07-27,Integration Issue,Critical,4,Yes
T001259,A00470,2024-04-09,Bug Report,Low,147,Yes
T001260,A00470,2024-04-11,Integration Issue,Critical,8,Yes
T001261,A00472,2023-12-02,Bug Report,Medium,37,Yes
T001262,A00472,2024-09-28,Billing,Low,38,Yes
T001263,A00472,2024-05-28,Feature Request,Medium,44,Yes
T001264,A00472,2023-11-30,Onboarding Help,Critical,8,Yes
T001265,A00472,2024-07-06,Integration Issue,Critical,6,Yes
T001266,A00472,2024-09-29,Performance,High,23,Yes
T001267,A00473,2024-03-25,Billing,Medium,82,Yes
T001268,A00473,2024-01-31,Performance,Low,80,Yes
T001269,A00474,2024-11-23,Billing,Critical,8,Yes
T001270,A00475,2024-05-03,Bug Report,Medium,80,Yes
T001271,A00476,2024-12-31,Feature Request,Medium,,No
T001272,A00476,2024-05-08,Bug Report,Medium,,No
T001273,A00478,2024-12-04,Performance,Low,112,Yes
T001274,A00478,2023-06-24,Performance,Low,152,Yes
T001275,A00479,2024-12-16,Onboarding Help,Low,51,Yes
T001276,A00479,2023-06-02,Performance,Medium,29,Yes
T001277,A00479,2023-03-16,Onboarding Help,Low,,No
T001278,A00480,2024-12-07,Performance,Medium,16,Yes
T001279,A00480,2023-08-29,Bug Report,Medium,63,Yes
T001280,A00482,2024-12-22,Feature Request,Critical,8,Yes
T001281,A00482,2024-12-20,Integration Issue,Low,117,Yes
T001282,A00482,2024-12-27,Integration Issue,High,19,Yes
T001283,A00485,2024-09-10,Bug Report,Medium,34,Yes
T001284,A00485,2024-10-20,Bug Report,Critical,1,Yes
T001285,A00485,2024-08-17,Feature Request,Low,136,Yes
T001286,A00486,2024-07-05,Integration Issue,Medium,72,Yes
T001287,A00489,2024-01-09,Performance,Medium,92,Yes
T001288,A00489,2024-05-27,Bug Report,Medium,46,Yes
T001289,A00490,2024-10-30,Bug Report,Low,121,Yes
T001290,A00490,2024-10-02,Billing,Low,40,Yes
T001291,A00491,2024-03-11,Feature Request,Low,119,Yes
T001292,A00491,2024-05-16,Bug Report,Low,,No
T001293,A00491,2024-11-28,Feature Request,Critical,,No
T001294,A00491,2024-12-22,Performance,Medium,65,Yes
T001295,A00491,2024-06-11,Onboarding Help,High,27,Yes
T001296,A00491,2024-09-28,Bug Report,High,19,Yes
T001297,A00492,2023-09-23,Feature Request,High,35,Yes
T001298,A00493,2024-04-22,Feature Request,Medium,78,Yes
T001299,A00493,2024-01-20,Performance,Medium,45,Yes
T001300,A00493,2024-07-18,Billing,Medium,35,Yes
T001301,A00493,2024-03-03,Onboarding Help,Low,95,Yes
T001302,A00493,2024-10-19,Billing,Medium,,No
T001303,A00493,2024-06-26,Billing,Low,60,Yes
T001304,A00493,2023-11-26,Feature Request,Medium,16,Yes
T001305,A00493,2023-11-28,Billing,Low,130,Yes
T001306,A00494,2023-08-07,Billing,Medium,93,Yes
T001307,A00497,2024-12-28,Bug Report,High,13,Yes
T001308,A00497,2024-12-24,Onboarding Help,Low,156,Yes
T001309,A00498,2024-12-22,Bug Report,High,28,Yes
T001310,A00498,2024-12-21,Performance,Medium,44,Yes
T001311,A00498,2024-12-21,Onboarding Help,High,48,Yes
T001312,A00500,2024-08-17,Integration Issue,Low,94,Yes
T001313,A00501,2024-01-25,Feature Request,Critical,7,Yes
T001314,A00501,2023-10-20,Onboarding Help,High,32,Yes
T001315,A00502,2024-12-22,Integration Issue,Medium,19,Yes
T001316,A00504,2024-08-06,Onboarding Help,Medium,35,Yes
T001317,A00504,2024-10-21,Integration Issue,Low,,No
T001318,A00506,2024-07-05,Bug Report,Low,44,Yes
T001319,A00506,2024-04-02,Feature Request,Low,111,Yes
T001320,A00509,2024-01-07,Onboarding Help,Low,140,Yes
T001321,A00509,2024-09-21,Performance,Medium,41,Yes
T001322,A00509,2024-07-20,Performance,Critical,1,Yes
T001323,A00509,2024-07-13,Integration Issue,Medium,48,Yes
T001324,A00510,2024-12-12,Performance,High,,No
T001325,A00511,2024-03-27,Feature Request,Medium,53,Yes
T001326,A00511,2024-03-03,Onboarding Help,Critical,,No
T001327,A00512,2024-11-14,Onboarding Help,Low,149,Yes
T001328,A00512,2024-08-20,Performance,Low,140,Yes
T001329,A00515,2023-12-01,Performance,Critical,1,Yes
T001330,A00515,2024-11-15,Bug Report,High,11,Yes
T001331,A00516,2024-09-13,Performance,Medium,84,Yes
T001332,A00516,2024-05-15,Integration Issue,Medium,66,Yes
T001333,A00517,2024-12-26,Bug Report,Critical,3,Yes
T001334,A00518,2024-05-20,Bug Report,Medium,75,Yes
T001335,A00518,2024-08-29,Billing,Medium,92,Yes
T001336,A00518,2023-11-06,Performance,Medium,91,Yes
T001337,A00519,2024-08-29,Billing,High,20,Yes
T001338,A00521,2023-10-31,Feature Request,High,,No
T001339,A00521,2024-08-07,Bug Report,Low,150,Yes
T001340,A00521,2023-08-27,Onboarding Help,Medium,89,Yes
T001341,A00522,2024-12-06,Bug Report,Critical,1,Yes
T001342,A00522,2024-12-06,Billing,Low,120,Yes
T001343,A00522,2024-12-06,Bug Report,Medium,25,Yes
T001344,A00524,2024-10-29,Performance,Medium,72,Yes
T001345,A00525,2024-01-19,Feature Request,Low,68,Yes
T001346,A00526,2024-06-18,Integration Issue,High,44,Yes
T001347,A00526,2023-12-19,Performance,Critical,1,Yes
T001348,A00526,2024-09-19,Performance,High,31,Yes
T001349,A00528,2023-08-15,Onboarding Help,Medium,,No
T001350,A00528,2024-11-17,Performance,Medium,76,Yes
T001351,A00528,2024-10-10,Integration Issue,Low,58,Yes
T001352,A00528,2024-05-15,Feature Request,Medium,21,Yes
T001353,A00528,2024-07-19,Performance,Medium,39,Yes
T001354,A00528,2023-12-20,Onboarding Help,Low,,No
T001355,A00528,2024-12-08,Onboarding Help,Low,75,Yes
T001356,A00530,2024-12-19,Bug Report,Medium,77,Yes
T001357,A00530,2024-12-17,Performance,Medium,71,Yes
T001358,A00530,2024-11-13,Feature Request,High,,No
T001359,A00530,2024-12-27,Billing,High,,No
T001360,A00530,2024-12-15,Performance,High,42,Yes
T001361,A00530,2024-12-19,Onboarding Help,Medium,53,Yes
T001362,A00530,2024-12-30,Feature Request,Low,67,Yes
T001363,A00531,2024-02-16,Performance,Low,134,Yes
T001364,A00531,2023-07-05,Performance,Low,92,Yes
T001365,A00531,2024-09-03,Billing,High,4,Yes
T001366,A00531,2024-11-30,Integration Issue,Critical,7,Yes
T001367,A00531,2024-12-15,Onboarding Help,Medium,49,Yes
T001368,A00531,2023-08-08,Feature Request,Low,24,Yes
T001369,A00531,2024-11-18,Feature Request,Critical,4,Yes
T001370,A00531,2024-10-13,Feature Request,High,,No
T001371,A00533,2024-10-29,Feature Request,Low,76,Yes
T001372,A00533,2023-05-19,Billing,Low,62,Yes
T001373,A00534,2024-11-18,Feature Request,Critical,,No
T001374,A00535,2024-12-17,Billing,Medium,,No
T001375,A00535,2024-11-10,Performance,Medium,84,Yes
T001376,A00536,2024-12-12,Integration Issue,Medium,31,Yes
T001377,A00537,2023-05-24,Integration Issue,Medium,67,Yes
T001378,A00537,2023-06-06,Feature Request,Low,44,Yes
T001379,A00538,2024-03-13,Integration Issue,Low,142,Yes
T001380,A00538,2024-08-11,Feature Request,Low,48,Yes
T001381,A00538,2023-10-02,Feature Request,High,34,Yes
T001382,A00540,2024-09-20,Feature Request,High,39,Yes
T001383,A00541,2024-06-27,Bug Report,Medium,28,Yes
T001384,A00542,2024-08-27,Feature Request,Medium,47,Yes
T001385,A00543,2024-07-26,Feature Request,Low,,No
T001386,A00544,2024-09-12,Feature Request,Low,64,Yes
T001387,A00544,2024-06-10,Onboarding Help,Medium,14,Yes
T001388,A00545,2023-11-25,Integration Issue,Medium,64,Yes
T001389,A00545,2024-06-19,Feature Request,Medium,81,Yes
T001390,A00545,2023-06-17,Onboarding Help,High,,No
T001391,A00547,2024-04-30,Onboarding Help,Medium,,No
T001392,A00547,2024-04-18,Integration Issue,Medium,14,Yes
